"LUMINA.postexposure","Post Exposure"
"LUMINA.coloradjustments","ColorAdjustments"
"LUMINA.colortooltip","Color"
"LUMINA.settingstooltip","Settings"
"LUMINA.contrast","Contrast"
"LUMINA.hueshift","Hue Shift"
"LUMINA.saturation","Saturation"
"LUMINA.whitebalance","White Balance"
"LUMINA.temperature","Temperature"
"LUMINA.tint","Tint"
"LUMINA.brightness","Brightness"
"LUMINA.shadows","Shadows"
"LUMINA.midtones","Midtones"
"LUMINA.highlights","Highlights"
"LUMINA.save","Save"
"LUMINA.resettodefault","Reset to Default"



